Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CheckSideMenu,Chrome 77.0.3865.120,,,2019-10-28 11:22:44,2019-10-28 11:23:36,"52,364s",PASSED
,,,,,,,
Test Cases/SideMenu/CheckElementsOfSideMenu,Chrome 77.0.3865.120,,,2019-10-28 11:22:44,2019-10-28 11:23:04,"19,983s",PASSED
"callTestCase(findTestCase(""LoginPage/Login by Username""), [""Username"":findTestData(""DataForLogin/CredentialsForLogin"").getValue(1, 1), ""Password"":findTestData(""DataForLogin/CredentialsForLogin"").getValue(3, 1)], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,,2019-10-28 11:22:44,2019-10-28 11:22:58,"13,137s",PASSED
checkElementsPresents(),Chrome 77.0.3865.120,,,2019-10-28 11:22:58,2019-10-28 11:22:58,"0,000s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Dashboard/DashboardHeader""), 1)",Chrome 77.0.3865.120,,,2019-10-28 11:22:58,2019-10-28 11:22:58,"0,283s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Dashboard/miniAvatarIcon""), 1)",Chrome 77.0.3865.120,,,2019-10-28 11:22:58,2019-10-28 11:22:59,"0,706s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Dashboard/time""), 1)",Chrome 77.0.3865.120,,,2019-10-28 11:22:59,2019-10-28 11:22:59,"0,280s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Dashboard/TitleOfPage""), 1)",Chrome 77.0.3865.120,,,2019-10-28 11:22:59,2019-10-28 11:23:00,"0,719s",PASSED
"setViewPortSize(1920, 1080)",Chrome 77.0.3865.120,,,2019-10-28 11:23:00,2019-10-28 11:23:00,"0,259s",PASSED
checkElementsVisible(),Chrome 77.0.3865.120,,,2019-10-28 11:23:00,2019-10-28 11:23:00,"0,000s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Dashboard/DashboardHeader""))",Chrome 77.0.3865.120,,,2019-10-28 11:23:00,2019-10-28 11:23:01,"0,766s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Dashboard/miniAvatarIcon""))",Chrome 77.0.3865.120,,,2019-10-28 11:23:01,2019-10-28 11:23:01,"0,344s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Dashboard/time""))",Chrome 77.0.3865.120,,,2019-10-28 11:23:01,2019-10-28 11:23:02,"0,662s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Dashboard/TitleOfPage""))",Chrome 77.0.3865.120,,,2019-10-28 11:23:02,2019-10-28 11:23:02,"0,325s",PASSED
"setViewPortSize(1024, 750)",Chrome 77.0.3865.120,,,2019-10-28 11:23:02,2019-10-28 11:23:02,"0,136s",PASSED
checkElementsVisible(),Chrome 77.0.3865.120,,,2019-10-28 11:23:02,2019-10-28 11:23:02,"0,002s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Dashboard/DashboardHeader""))",Chrome 77.0.3865.120,,,2019-10-28 11:23:02,2019-10-28 11:23:03,"0,522s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Dashboard/miniAvatarIcon""))",Chrome 77.0.3865.120,,,2019-10-28 11:23:03,2019-10-28 11:23:03,"0,320s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Dashboard/time""))",Chrome 77.0.3865.120,,,2019-10-28 11:23:03,2019-10-28 11:23:04,"0,754s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Dashboard/TitleOfPage""))",Chrome 77.0.3865.120,,,2019-10-28 11:23:04,2019-10-28 11:23:04,"0,340s",PASSED
,,,,,,,
Test Cases/SideMenu/UseNavigationByMenu(Full Size),Chrome 77.0.3865.120,,,2019-10-28 11:23:04,2019-10-28 11:23:20,"15,592s",PASSED
"callTestCase(findTestCase(""LoginPage/Login by Email""), [""Email"":findTestData(""DataForLogin/CredentialsForLogin"").getValue(1, 1), ""Password"":findTestData(""DataForLogin/CredentialsForLogin"").getValue(3, 1)], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,,2019-10-28 11:23:04,2019-10-28 11:23:15,"10,465s",PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/SideMenu/SizeOfMenu""), ""class"", ""navbar-nav bg-gradient-dark sidebar sidebar-dark accordion"", 1)",Chrome 77.0.3865.120,,,2019-10-28 11:23:15,2019-10-28 11:23:15,"0,305s",PASSED
